,address,bedrooms,bathrooms,price,squareFootage,floorplan,complex,covered_parking,balcony,washer_dryer,loft,hardwood_floors,office,open_concept,high_ceiling,pets,priceSquareFoot,latitude,longitude,SHAPE,commute_time,grocery_count,bar_count,gas_count,resturant_count,hospital_count,park_count,scores,scaled_scores
28,"5575 Vincent Gate Terrace, Alexandria, VA",1,1.0,1646,781,A1E,Sullivan Place,1.0,1,1,0,1,0,1,1,1,2.1075544174135725,38.801162,-77.1607611,"{'spatialReference': {'wkid': 4326}, 'x': -77.1607611, 'y': 38.801162}",12,0,0,5,2,0,6,-1320.0,1.883042059325442
29,"5575 Vincent Gate Terrace, Alexandria, VA",1,1.0,1739,1019,A1EL,Sullivan Place,1.0,1,1,1,1,1,1,1,1,1.7065750736015701,38.801162,-77.1607611,"{'spatialReference': {'wkid': 4326}, 'x': -77.1607611, 'y': 38.801162}",12,0,0,5,2,0,6,-1100.5,4.340059863479745
30,"2201 Mill Rd, Alexandria, VA 22314",1,1.0,1682,674,Mellon,Carlyle Mill Apartments,1.0,1,1,0,0,0,1,0,1,2.4955489614243325,38.7995137,-77.0671904,"{'spatialReference': {'wkid': 4326}, 'x': -77.0671904, 'y': 38.7995137}",17,5,18,8,18,0,12,-1511.0,1.6863664706543047
31,"2201 Mill Rd, Alexandria, VA 22314",2,2.0,2327,1059,Selkirk,Carlyle Mill Apartments,1.0,0,1,0,0,1,1,0,1,2.1973559962228517,38.7995137,-77.0671904,"{'spatialReference': {'wkid': 4326}, 'x': -77.0671904, 'y': 38.7995137}",17,5,18,8,18,0,12,-1897.0,5.358559843552426
32,"2727 S Quincy St, Arlington, VA 22206",1,1.0,2185,706,1C,IO Piazza,1.0,1,1,0,1,0,1,1,1,3.094900849858357,38.8421763,-77.08626,"{'spatialReference': {'wkid': 4326}, 'x': -77.08626, 'y': 38.8421763}",15,3,9,16,16,0,17,-2198.5,3.919190443582135
33,"2727 S Quincy St, Arlington, VA 22206",1,1.0,2060,765,1H,IO Piazza,1.0,0,1,0,1,0,1,1,1,2.69281045751634,38.8421763,-77.08626,"{'spatialReference': {'wkid': 4326}, 'x': -77.08626, 'y': 38.8421763}",15,3,9,16,16,0,17,-1922.5,4.2521503842349535
34,"1800 26th St S, Arlington, VA 22206",1,1.0,1376,640,11,The Park at Arlington Ridge,1.0,0,1,0,1,0,1,0,1,2.15,38.8480517,-77.0745243,"{'spatialReference': {'wkid': 4326}, 'x': -77.0745243, 'y': 38.8480517}",17,6,11,14,12,0,16,-1096.5,3.6684676434676433
35,"1800 26th St S, Arlington, VA 22206",2,1.0,1562,787,21,The Park at Arlington Ridge,1.0,0,1,0,1,0,1,0,1,1.9847522236340533,38.8480517,-77.0745243,"{'spatialReference': {'wkid': 4326}, 'x': -77.0745243, 'y': 38.8480517}",17,6,11,14,12,0,16,-1154.0,4.760003251776248
36,"1800 26th St S, Arlington, VA 22206",2,2.0,1748,972,22,The Park at Arlington Ridge,1.0,0,1,0,1,0,1,0,1,1.7983539094650205,38.8480517,-77.0745243,"{'spatialReference': {'wkid': 4326}, 'x': -77.0745243, 'y': 38.8480517}",17,6,11,14,12,0,16,-1154.5,5.61320552675152
37,"5250 Duke St, Alexandria, VA 22304",1,1.0,1399,700,Ceder,The Arbors on Duke,1.0,1,1,0,1,0,1,0,1,1.9985714285714287,38.8122224,-77.1238424,"{'spatialReference': {'wkid': 4326}, 'x': -77.1238424, 'y': 38.8122224}",14,6,6,13,17,1,15,-1030.5,3.6548405723850816
38,"5250 Duke St, Alexandria, VA 22304",2,2.0,1741,1067,Elm,The Arbors on Duke,1.0,1,1,0,1,0,1,0,1,1.6316776007497658,38.8122224,-77.1238424,"{'spatialReference': {'wkid': 4326}, 'x': -77.1238424, 'y': 38.8122224}",14,6,6,13,17,1,15,-991.0,5.731588841425636
39,"766 N Howard St, Alexandria, VA 22304",1,1.0,1420,580,Lee Premier,Foxchase Apartments,1.0,1,1,0,1,0,0,0,1,2.4482758620689653,38.8183099,-77.10691829999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.10691829999999, 'y': 38.8183099}",17,4,4,7,10,2,15,-1272.0,-0.8146713984992917
40,"766 N Howard St, Alexandria, VA 22304",2,2.5,1920,1180,The Gadsby Townhome,Foxchase Apartments,1.0,1,1,0,1,1,0,0,1,1.6271186440677967,38.8183099,-77.10691829999999,"{'spatialReference': {'wkid': 4326}, 'x': -77.10691829999999, 'y': 38.8183099}",17,4,4,7,10,2,15,-1117.5,3.943488838889432
41,"2700 Williamsburg St, Alexandria, VA 22314",1,1.0,1580,811,The Gadsby Townhome,Cameron Court,1.0,0,1,0,1,0,1,1,1,1.9482120838471024,38.8027934,-77.0797852,"{'spatialReference': {'wkid': 4326}, 'x': -77.0797852, 'y': 38.8027934}",16,4,10,4,12,0,11,-1164.0,2.803370280395503
